Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",177.500000,-66.500000,0.000000,bottom
"C3","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",136.500000,-71.000000,180.000000,bottom
"C6","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",164.000000,-71.500000,180.000000,bottom
"C7","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",156.000000,-90.000000,-90.000000,bottom
"C12","4.7uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.500000,-90.500000,180.000000,bottom
"C21","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.137500,-75.500000,180.000000,bottom
"C22","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",133.500000,-70.500000,-90.000000,bottom
"C23","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",174.000000,-79.500000,0.000000,bottom
"D1","ESD9B3.3ST5G","D_SOD-923",170.500000,-66.920000,-90.000000,bottom
"D2","ESD9B3.3ST5G","D_SOD-923",170.500000,-63.500000,-90.000000,bottom
"D3","ESD9B5.0ST5G","D_SOD-923",170.500000,-70.500000,-90.000000,bottom
"D4","ESD9B3.3ST5G","D_SOD-923",164.500000,-77.500000,0.000000,bottom
"D5","ESD9B3.3ST5G","D_SOD-923",171.500000,-85.000000,180.000000,bottom
"D6","ESD9B3.3ST5G","D_SOD-923",171.580000,-82.000000,180.000000,bottom
"J2","OV2640","Amphenol_F32Q-1A7x1-11024_1x24-1MP_P0.5mm_Horizontal",146.000000,-96.275000,180.000000,bottom
"J3","Micro_SD_Card","microSD_HC_Molex_104031-0811",164.000000,-85.500000,90.000000,bottom
"J4","Conn_01x08","PinHeader_1x08_P2.54mm_Horizontal",130.000000,-57.380000,180.000000,bottom
"R2","5.1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",172.000000,-69.500000,-90.000000,bottom
"R4","23","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",168.412500,-65.000000,180.000000,bottom
"R5","23","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",170.500000,-60.500000,90.000000,bottom
"U3","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",150.562500,-83.595000,180.000000,bottom
